member_id,loan_status
11937648,0
38983318,0
27999917,0
61514932,0
59622821,1
28822038,0
10718089,1
58114582,0
35023176,1
1268247,0
15559751,0
41234300,1
53958774,1
8074949,1
67601509,0
65560239,1
14767770,1
1726792,0
9899439,0
15120294,0
12019444,1
35242810,0
1057101,1
23024164,0
45430320,1
46396580,1
58832624,0
14990008,1
57738287,0
66382471,1
69172510,1
12096725,1
69625122,1
21137778,1
57619455,1
16260256,1
14318798,0
55256601,0
39394049,1
11039175,1
2917982,1
17792691,1
65459581,1
65534514,1
49505658,0
49844455,0
31147531,0
70089344,1
54544839,0
44477220,0
69706239,1
58084165,0
60134086,0
4585555,0
4626742,0
43818698,0
13786934,1
60617536,1
4417424,0
7204055,1
33950045,1
12013906,0
604548,1
15549692,1
71247427,1
2738027,1
59659461,1
1500102,0
1650047,1
2169020,1
17703034,1
28059791,1
1770051,1
41262624,1
22381130,1
17291769,1
62209176,1
26487687,0
41421013,0
60122935,0
31207124,0
67859970,1
64060122,1
1311222,1
60838563,1
58469730,0
7020851,0
70464556,1
9049578,0
49892123,0
9417405,1
53092266,0
8647965,1
70621827,0
3730402,1
65591455,1
10417131,1
62958047,0
15950344,0
63525659,1
16581081,1
49694153,0
43919083,0
67601646,0
9307040,0
70425870,1
69695992,1
43805189,0
5216821,0
57475285,1
16652221,1
4716909,1
49972936,0
14407931,1
26186886,0
56975527,1
1414319,0
6037725,1
70571347,1
44777279,1
671989,1
807217,1
47064412,0
45240571,1
38671591,0
70721565,0
23172283,0
10758492,0
42649369,0
11963683,0
45330462,0
71866234,1
8438490,0
12012020,0
55267913,1
42415873,0
55409753,1
1555734,0
63713300,1
7647616,1
42576014,0
21177915,1
8728894,1
21128679,1
70399814,1
8437882,1
9031555,0
57558002,0
45431052,0
51046130,0
15550698,1
35573112,1
17552706,1
52476577,0
70659614,0
46302600,0
21288954,0
7948020,1
10359306,1
35813287,1
1709032,1
15199645,1
21699089,0
39022454,0
1803885,1
49564795,0
9349428,0
772296,1
832425,1
8007746,0
16552452,0
6989760,1
227380,1
41211025,0
58820745,1
1779852,1
70386803,1
52134971,0
64312545,0
4670121,1
13987701,1
921307,0
65004732,1
68389005,1
60022480,0
36314894,0
43907508,0
43258278,0
57885576,0
10748061,1
4430913,1
21779448,0
63070389,1
6586781,1
42732668,0
5396945,0
51954594,0
64925101,1
44666917,1
50357232,0
58739637,1
30153396,1
70720477,1
19014984,1
62394856,1
63030181,1
58649413,1
27108099,0
69564575,0
14420153,0
50883920,1
59612133,0
64242527,1
36695273,0
2743788,1
1500952,1
64996822,0
9421439,0
32297385,0
42344393,0
10778478,1
33790547,1
49253238,0
70398364,1
69888928,0
7747454,0
64323635,0
8719337,1
1087506,0
1735809,1
35111977,0
58359291,1
14959722,1
6998465,0
64866701,1
7647822,1
22422037,1
62249968,0
41291595,1
1278815,1
44246280,0
1195655,1
61525469,1
51441892,0
63007059,1
71268089,0
26237592,0
67752792,0
22412251,0
49872534,1
57926030,1
72258981,0
64597499,0
8123386,1
70317679,0
28420216,0
59731129,0
45241432,0
1999199,1
30925884,1
49933621,0
62876116,1
37446165,1
869098,1
26707520,0
30155499,1
5167341,0
65591207,1
55267005,0
7230197,0
14439637,0
2833139,1
73466822,0
21400145,0
15709699,1
64677251,1
67831327,1
10409511,1
567254,1
66454078,1
52405502,0
19415351,0
63237932,1
1733686,1
45459947,0
45300473,0
42514349,0
26537760,1
19726763,0
62493807,1
37146348,0
63426551,1
14828067,1
35974332,0
55599570,1
3086819,1
14949078,1
30035789,1
53985047,1
67727881,1
1690349,1
53807441,0
67429911,1
5461049,1
15329419,1
57985773,1
7002139,0
9431299,1
38859990,1
54605847,1
17151724,1
22691519,1
71316742,0
14460804,1
53987728,1
22312042,1
31215797,0
44236102,1
33229153,1
5810798,1
7196939,0
20206780,0
57618644,1
1685355,1
72116971,1
577660,1
70386961,0
31957047,1
2638428,1
13776975,1
26938008,0
49854609,0
52952067,0
41308100,0
15550430,1
71259707,0
11416762,1
68290831,0
5318085,0
11980397,1
18505267,1
7947582,1
1436172,1
8755522,1
2036721,1
43355557,0
4726601,0
6436961,0
31097249,0
22312546,1
805367,1
34702311,0
46715940,0
35272819,0
3606835,0
47063557,0
63087455,0
54024928,0
8227409,0
62997385,1
2743367,1
1706344,1
15238662,1
49643913,0
64795434,0
7232574,0
47062309,0
71370177,0
23072964,0
47834844,0
9034252,1
12479987,1
14458747,1
50267125,0
67669392,1
3466900,0
21348997,0
65002888,1
47013394,0
49704059,0
4380187,1
1700361,1
6377460,0
70379835,0
23494460,0
64923708,1
18484757,0
31697649,1
46972706,1
41339816,0
69635886,1
62209993,0
54666805,0
10340897,0
47156298,1
41025053,0
51421593,0
43817646,1
1582030,0
58740107,1
70414253,1
31667372,1
44346518,0
69859440,0
17051467,1
24615092,1
34501059,0
34702552,0
42243259,1
62971002,1
60947768,1
69929358,0
3875307,0
8297366,0
12033796,1
34401468,0
60939140,0
